"Variable","(Intercept)_Estimate","FCNOFC_Estimate","ISI_Estimate","FCNOFC_ISI_Estimate","(Intercept)t_P_Value","FCNOFC_P_Value","ISI_P_Value","FCNOFC_ISI_P_Value"
"X48",4.66930129025,0.11299567625,0.0159160745000001,-0.121328586375,1.36868939544639e-40,0.0330226319204954,0.75443363863207,0.0997016133426114
"X50",3.774755233875,0.00655755374999994,-0.0135441465000001,-0.00808380599999984,9.00607084793679e-48,0.773382796625347,0.552983571788829,0.801776093583112
"X51",3.705211668625,-0.0208502418750001,-0.02611256425,0.0600700287499992,8.92669188495905e-49,0.315107575864131,0.210675341134889,0.0464172002574001
"X54",5.283704851,-0.0921472451249997,-0.00819341337499978,0.112843833749998,1.88228361118898e-50,0.00109665452096302,0.748681424031711,0.00385384964980846
"X55",4.163758751875,0.106381172125,0.03272385525,-0.156283439875001,2.49487282564067e-43,0.0060984300141209,0.369248607090435,0.00458323962270897
"X56",3.865461596875,0.015893678125,0.017479576375,-0.0712721223750006,1.46982874747051e-46,0.538445544228652,0.498999728978149,0.058217178055928
"X57",4.190140508375,0.0515528009999999,0.0184544404999998,-0.0257798886250005,7.99835691691211e-41,0.254932158080713,0.680534945999211,0.684212456702993
"X58",3.95810542575,-0.02410726825,-0.02098017775,-0.00390872800000093,2.33096889644352e-44,0.447882904654873,0.50839781672258,0.930303254707277
"X59",4.351865569125,-0.0313099285000001,-0.00291270000000011,0.0376407487499998,7.77367476030739e-46,0.313296337909332,0.924580067967115,0.390153561141633
"X60",3.78306388475,0.0807825192500001,0.00924762437500007,-0.0908010423750006,4.03733006817225e-40,0.0672667976991936,0.829061555190227,0.141459465247876
"X62",3.869540630625,-0.0347462074999999,-0.016375525,0.00775285137499854,4.21783740850912e-42,0.354045554626338,0.660350739838942,0.882865218296675
"X63",4.11971955775,-0.0309474505,0.0656359768749999,-0.0844695438750001,1.09178045096767e-31,0.740930910961307,0.484676907536729,0.524520657643704
"X64",4.3324933685,0.1351619905,0.0198034705,-0.167712142625,2.74164305619554e-43,0.00118175980967746,0.600990445884958,0.00369459013943065
"X65",4.985921929,-0.0391474377499998,-0.0387969851249997,0.0819343967499996,5.15156007208492e-46,0.265100746663463,0.269307817211697,0.103499516317353
"X66",3.985117348125,-0.0329114797499999,-0.00166794825000002,0.0805123513749995,7.50434635081185e-41,0.440800791432126,0.968669645910177,0.186991339668558
"X67",3.982933482,0.0350331423750001,0.014653564,-0.0805199987500009,2.1998402158029e-40,0.429651523244771,0.739968655421552,0.203378978308065
"X68",4.133027111625,0.0383638524999998,-0.00492021062499996,-0.0476398931250012,5.39181281261306e-50,0.0726537560777852,0.812674279073188,0.112641711285523
"X69",4.930354324375,0.0727122361250001,0.00228971874999981,-0.0727315995000006,5.54917300429432e-52,0.00161812311230879,0.913272904598095,0.0199408677531305
"X70",4.258387867125,0.0186366897499998,0.00398024749999995,-0.0681966531250009,2.09263333671388e-41,0.66779459607355,0.926852419638549,0.27125771885266
"X71",4.268014999125,-0.0431010722500001,-0.00847835362500018,0.0462621503749999,1.27277180729082e-43,0.239742950824827,0.814933032345806,0.36973155546221
"X72",4.6353970625,0.0740821742499999,-0.00718260687500007,-0.0516695890000005,2.39630063450554e-41,0.126190992822993,0.879629300614995,0.443443304929083
"X73",4.85706738275,0.0399260114999998,-0.0048298988750002,-0.00835631575000025,7.01834585083292e-43,0.365504962887439,0.912191172359461,0.89269002822651
"X74",4.449080418,-0.0127225961249999,0.0151461677500001,-0.0132135532500007,2.07425418864634e-41,0.778877203414667,0.738251067881914,0.836577870836061
"X75",3.60217386375,0.17651174775,0.051276282125,-0.0791408090000008,1.037449639383e-37,0.00127359179275702,0.307009246144943,0.265766607566246
"X76",4.489065334125,-0.00706655512499999,0.0218306965000001,-0.00686268987500076,8.48236084048717e-52,0.716443900225086,0.26661791034014,0.802911969953962
"X77",4.84921021,0.15438040925,0.0572456033750002,-0.162393036875,3.98689776291578e-39,0.0142084131065846,0.340514016381723,0.0618724332978843
"X78",3.742827863375,0.062136682375,0.0400537266249998,-0.148735816375,2.84173085956095e-37,0.251669251428437,0.456844232332458,0.0574706839042522
"X79",3.70721974925,0.00269927950000003,-0.019857825375,-0.0318910171250008,3.94631563636515e-40,0.94866212992577,0.636402195810616,0.591599333178237
"X80",4.366728809,0.0644481446249999,0.00756788749999992,-0.056350625375,9.83382353902443e-43,0.113928950911967,0.849430054360869,0.321683742568577
"X81",5.13347922575,-0.0552275354999999,-0.0388427369999999,0.0719829056249988,1.71842343541483e-46,0.11632916075326,0.264047107555593,0.146482690103144
"X82",4.200569534375,-0.0107270473749999,0.00513309174999998,-0.0455505175000016,7.34084555180602e-45,0.739105530991737,0.873284047175546,0.321161597206203
"X84",4.55706501075,0.15393037625,0.0231941641249998,-0.0444257571250002,4.94530125691131e-36,0.040346958534265,0.748386542116753,0.664212358704983
"X85",5.13790169675,-0.107859244125,-0.0285350014999997,0.0979647154999986,2.93952682683788e-48,0.00104567244920037,0.341591364106105,0.0261325514772564
