"Based on noiseRem,RT,Repeat Rem",,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
Accepted Compounds,Cleaned Names,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
118,DG(18:0/22:6),0.477170414,0.252003875,0.167615822,0.442007166,0.425867335,1.035015,0.33686112,0.23971017,0.220147128,0.157846965,0.159611458,0.283331747,1.057816957,0.764710158,0.610790725,0.502915145,0.188590681,0.480687454,-0.022476974,0.169172335,0.617131178,0.270673426,0.281305356,0.357001932,-0.057996397,-0.376019864,0.114086844,0.070022576,0.196809363,-0.131080448,-0.215655108,-0.16516799,-0.350640649,-0.366776702,-0.113989468,-0.51485408,-0.647708123,-0.366535776,0.000271186,-0.223106483,-0.498656625,-0.559043834,-0.366359135,-0.466014152,0.074145546,-0.164861445,-0.291560747,0.072485441,-0.140605306,-1.207851803,-0.357126027,-0.53173859,-0.56026907,-0.410442885,-0.31317341,-0.152653395,-0.487873489,-0.622407419,-0.423241805,-0.55224037,-0.387454485,-0.374845875,-0.189141026,-0.511474404,0.226065447,0.510431071,0.53848634,0.573698627,0.585223112,-0.328904025,-0.087305335,-0.118587238,0.048872799,0.037842216,0.092258334,0.180686006,0.233653822,0.264827998,0.337989682
119,TG(16:0/16:0/22:6),0.645503458,0.259668987,0.788155495,0.376978173,0.229998154,0.139336538,0.238458948,0.456415779,0.314435299,0.204557961,0.339486,0.422381999,0.122534166,0.101072766,0.207695622,0.130486041,0.037219022,0.393500042,-0.189451637,0.189227913,0.44837546,0.097624448,0.057266138,-0.048334585,0.455653363,0.206397703,0.421255855,0.090043317,0.304744017,0.159935078,-0.14464583,0.108811929,0.279682728,0.233091285,0.073148172,-0.682516207,-0.361190191,-0.339927418,-0.929357201,0.014347468,-0.598736396,-0.310332214,-0.166673904,-0.707839047,-0.288672234,-0.975975829,-0.244785925,-0.119443479,0.349318695,-1.004945804,0.04102194,0.084375377,-0.643056737,-0.52516721,-0.493984822,-0.338240255,0.093999966,0.036490283,-0.297289758,0.002687711,-0.19866236,-0.49192811,-0.110762584,-0.274496621,0.40010497,0.269987989,0.334598272,0.307749229,0.317379011,-0.107950487,-0.164075712,-0.227201755,-0.272452917,-0.21203757,0.186115959,0.146882319,0.130147461,0.079781277,0.142005011
120,Cer(d18:0/22:0),0.084831939,0.052650022,0.112130935,0.339541227,0.271002512,0.160303688,-0.210058932,-0.015154995,-0.041735338,-0.061992904,-0.076371624,0.056716203,-0.469031093,0.07165736,-0.242322026,-0.11157507,0.146753183,0.150681634,0.014876313,-0.009655394,-0.003353242,0.098244647,-0.150674587,0.340410063,0.057287,-0.394574958,0.151876702,0.319615701,0.003569091,-0.054188813,0.113743732,-0.004582056,0.161420318,0.175843358,0.160582446,0.401089854,0.029871894,-0.045047009,0.345910262,0.102963431,0.26114694,0.356689172,0.319792187,0.324969678,0.281710341,0.472687746,0.331824781,0.022076195,-0.071337788,0.261876654,-0.261889872,0.051650266,-4.087984972,-4.920408358,0.053326226,0.214401818,0.022779943,-0.011994408,0.288786043,0.020275376,-0.022715959,0.347243033,0.066932417,-0.199663504,0.315056528,0.202463048,0.225799625,0.234783863,0.233401524,0.331914561,0.298614551,0.265020066,0.234643273,0.221864482,0.298992998,0.254830856,0.242486097,0.236949371,0.24774973
121,PE(22:4/18:0),0.411633438,0.327080439,0.521576105,0.267676061,0.135477155,0.121558066,-0.109382973,0.135761382,0.332366538,0.180838064,0.356601811,0.378557644,-0.999839034,-0.017172431,-0.137290284,-0.070727108,0.14892109,0.300734677,-0.069498271,0.395946031,-0.1913312,0.28660241,-0.103694323,0.11840603,0.170928337,0.323549853,0.282632969,0.138026793,0.347443576,-0.03500805,0.224933944,-0.032453973,0.262679288,0.160822723,-0.168667129,0.000606659,-0.194913795,-0.288397526,-0.344177703,0.093672301,-0.202273655,0.022244614,0.268917721,0.085829822,-0.125667645,-0.332103015,0.523624086,-0.335271543,0.223607788,-0.200069854,-0.061584627,0.039043958,-0.203626467,-0.069105089,-0.259241467,-0.078708404,0.311227998,0.320942921,0.058572757,-0.001873148,-0.089155408,-0.250107144,-0.06810794,0.088964117,0.158894429,-0.197798818,-0.138942424,-0.162525004,-0.150179445,-0.267720629,-0.30285175,-0.380003324,-0.348726834,-0.323099971,-0.093489041,-0.320317946,-0.247103968,-0.302127652,-0.252567583
122,Anandamide (20:1),-0.084322691,-0.179550064,-0.14805763,0.130210235,-0.025589939,-0.133981818,-0.320148344,-0.211777039,0.210491565,0.287022376,0.023402028,-0.233818324,-0.020395862,-0.082538294,-0.08172659,-0.002124675,-0.166826717,-0.124052029,0.15276729,0.20986329,-0.022549595,0.01235716,-0.069521377,-0.311718052,-0.075756675,0.233355866,0.195607556,-0.090576014,-0.027451771,-0.004219741,-0.06373482,-0.18144665,0.284902514,0.059903416,-0.009644762,-0.405072117,0.242807982,0.049529596,-0.245712993,0.18121611,0.626753354,0.400186444,0.357288732,-0.209921715,0.127564718,0.052539707,-0.192827071,0.106181961,0.02294817,0.027542899,-0.180396957,0.085285634,0.322642091,-0.136346095,0.340771779,0.150426897,-0.105125453,0.258937857,-0.143295122,0.497616426,0.313915349,0.107374064,-0.125630197,-0.029461633,0.005946192,-0.273907861,-0.085251908,-0.06959366,-0.199289652,0.269150507,0.126148278,0.120405004,-0.03808502,-0.514567932,0.109172394,-0.269811603,-0.257378309,-0.078389191,-0.470641476
123,LysoMG(18:0),-0.044123294,0.043560585,0.007429006,0.082440744,0.046856626,0.08056647,-0.048448071,-0.083274958,-0.048925338,-0.042602913,0.017385488,-0.009940436,-0.141424118,-0.031228344,-0.080171498,-0.016905196,-0.003255253,0.062191057,0.021026786,0.005055245,0.034424893,0.028865254,0.004810036,0.09187901,-0.017827594,-0.008904323,0.019155894,0.04038985,0.008707283,-0.013930576,0.080055406,0.062137203,0.067359201,0.125199766,0.179461238,0.342586182,0.140177368,0.068499281,0.343220288,0.091772339,0.191514732,0.142943912,0.138213534,0.199221741,0.153793071,0.292528547,0.203608143,0.101325759,0.027458162,0.186787225,-0.00539652,0.082523336,-3.345438684,-3.717359596,0.15504129,0.10199189,-0.016569102,-0.006312494,0.134380825,0.084647924,-0.012398306,0.253346571,0.060115705,0.060811365,0.149643367,0.132347972,0.176429708,0.167108225,0.172825936,0.29491787,0.262108028,0.255251675,0.217080099,0.244523629,0.14965105,0.179221488,0.205471982,0.203356023,0.219033333
124,PE(18:1/20:1),0.304719153,0.143195998,0.000699873,-0.135676634,-0.037299369,-0.320535411,0.553621173,0.372369347,0.277783158,0.037612889,0.250169531,-0.061862522,1.388962802,-0.085853475,0.247230643,0.064145673,0.500666289,-0.110740423,0.153245482,0.080909788,0.127448117,-0.074356061,0.082812093,-0.813795892,0.281620829,0.292388386,-0.018383477,-0.110274487,0.210351461,0.098891654,-0.502735458,-0.187455904,0.235007893,0.150909862,-0.255239433,-1.099945835,0.247188906,0.303615402,-0.921936741,0.00939632,-0.300611441,-0.047328599,-0.032748545,-0.431856878,-0.492727828,-0.789902416,-1.075168429,-0.04147429,0.301105367,0.277975295,0.185925358,0.098377892,-0.031952443,-0.074156066,-0.320281412,-0.083338265,0.574814506,0.275774641,-0.175924626,0.146309993,0.462891205,-0.56346588,0.439728187,0.096918443,0.301202163,0.103217516,0.144620679,0.078253946,0.388272217,-0.139400752,-0.250911382,-0.242026373,-0.157077509,-0.121351023,0.076298716,-0.092336141,-0.087150347,-0.091532928,0.012165851
125,DG(18:0/20:4),0.240595936,0.302132553,0.443895664,0.579161907,0.28026372,0.290268977,0.433810128,0.554125572,0.291769049,0.511706399,0.414368082,0.598290735,0.456323224,0.512841056,0.585087359,0.483858254,0.417388717,0.115726603,-0.591952596,-0.046259493,0.544814918,-0.069833914,-0.186593772,-0.496026781,0.357520433,-0.248707464,0.269341561,-0.322579718,0.359948221,-0.101130301,-0.398709061,-0.119319164,0.028427798,-0.189492132,-0.156996942,-1.266756262,-0.176571331,-0.375129011,-0.856847455,-0.101281952,-0.42848285,-0.101339138,-0.062710697,-0.846547336,-0.123958631,-0.458617716,-0.517368934,0.342363144,0.016287871,-0.564596842,-0.11660724,-0.091854818,-0.455696879,-0.309325246,-0.395271352,-0.201501663,-0.253656635,-0.197912326,-0.37838906,-0.123826188,0.02887375,-0.714604593,0.054423613,-0.471927519,0.162756565,0.343335846,0.451654059,0.450260706,0.53458867,-0.141110968,-0.097648159,-0.02704246,-0.044673027,0.083953188,0.111971829,0.269301786,0.259433676,0.324443738,0.323542322
126,LysoMG(20:4),0.335229736,0.37020588,0.427720557,0.543756057,0.295264697,0.46433519,0.433919817,0.350678727,0.364757576,0.49696601,0.554683089,0.578674958,0.585548379,0.48763053,0.481950751,0.587218172,0.308027783,0.169918179,-0.397160843,-0.086377643,0.485214493,-0.141150214,-0.102134778,-0.645640034,0.385759245,-0.268588009,0.251684655,-0.361477802,0.475114481,-0.100798263,-0.50338322,-0.05156365,0.122916463,-0.229454707,-0.23926045,-0.953194258,-0.231752313,-0.514461435,-0.734868183,-0.123525158,-0.47273073,-0.184300698,-0.132006339,-0.847384077,-0.211427936,-0.509185228,-0.443786461,0.056972595,-0.12339467,-0.691210071,-0.113223529,0.004539658,-0.391600077,-0.541404709,-0.315306038,-0.204329663,-0.254733947,-0.243373591,-0.05038954,-0.024185285,0.018884935,-0.789384037,-0.04471872,-0.50882824,0.24947017,0.550228331,0.385287156,0.558975942,0.512873775,-0.043241283,-0.02836361,-0.043473018,0.040441208,-0.035982437,0.230993343,0.101261941,0.234732385,0.158859561,0.272058468
127,PC(O-18:0/16:0),0.42829913,0.387647472,0.713136806,0.387636085,0.486740183,-0.144745597,-0.091330817,0.726110955,0.17095014,-0.087334119,-0.023634945,0.388944112,-0.891838354,-0.127308873,-0.256908828,-0.225825258,0.579168699,0.266478387,0.012339767,0.120605042,-0.010879038,0.260154888,-0.208428436,0.007349812,0.300787734,0.163197419,0.512547198,0.635029489,0.200437397,0.279809824,-0.10666166,0.064712399,0.305325695,0.336154858,-0.382991022,-0.725892887,-0.220411135,-0.435271217,-0.635126876,0.038056528,-0.147924508,-0.08839578,0.295107885,-0.114592414,-0.105586476,-0.453952876,-0.276594568,-0.340705517,0.701540877,-0.235014516,0.161348117,0.133902678,0.022173166,0.208973126,-0.456072787,-0.234130144,0.405026656,0.43624428,-0.014665708,0.10905865,0.090107721,-0.471612446,-0.071254772,-0.18787091,0.521058447,-0.103960829,-0.055783576,0.031057563,0.108819147,-0.132393331,-0.396620009,-0.547715133,-0.558921017,-0.557799984,0.048228205,-0.169394204,-0.280705625,-0.242272264,-0.225738078
128,HexCer(d18:1/24:0),-0.193840698,0.063243609,-0.155295095,0.084878873,0.34932195,0.103259558,0.334630356,0.030929695,-0.102779816,-0.094596024,-0.104812755,-0.331944817,0.103297521,0.035925955,-0.056796519,0.309687839,0.377415782,-0.401258768,0.230745969,-0.221092601,0.108141497,-0.157748806,0.311167266,-0.515787772,-0.074652328,-0.045186757,-0.057849164,0.116577876,-0.055604384,0.012223801,0.105516695,0.193108063,0.002897884,0.165194069,-0.159815295,-0.710677141,0.398258226,0.52915766,0.0650663,0.148890686,-0.006460926,0.144426616,0.010009477,0.235491857,-0.05539383,0.207441371,-0.827647733,-0.242806369,-0.211035256,0.725770519,-0.08042251,0.133193517,0.792780833,0.765941073,0.158203888,0.213213859,0.12053613,0.028880097,0.468307372,0.412095546,0.774668385,0.146049007,0.541606257,0.047956153,-0.367597249,-0.401270747,-0.396700225,-0.329468067,-0.282182036,-0.25826882,-0.201010813,-0.329619203,-0.388538731,-0.487409491,-0.309262719,-0.311811262,-0.416485486,-0.376655262,-0.386323615
129,PC(18:2/20:5),0.309940899,0.144810916,0.448341955,-0.103417275,-0.099839377,-0.104619648,0.048629446,0.458735458,0.363414718,0.286358818,0.448795948,0.539122826,0.230406597,0.36691316,0.344302715,0.365579292,0.066777766,0.226676608,0.241298639,0.361993057,0.221906613,0.093484234,0.1644958,0.119694406,0.297571188,0.256757814,0.065483018,0.549240911,0.186254358,0.276756109,0.055494227,0.453161006,-0.194903886,-0.291677532,-0.496644769,-0.801910166,-0.324964957,-0.703950285,-0.991356964,-0.182015218,-0.364593105,-0.328074146,-0.193848137,-0.572376034,0.031233499,-0.563235893,-0.211123837,0.052847802,-0.004855207,-0.88192749,-0.131218925,-0.019485335,-0.22473336,-0.041704932,-0.123724679,-0.337098223,-0.135109323,-0.245430327,-0.031101989,-0.228670455,-0.004563915,-0.86942293,-0.18709353,0.175498966,0.214843084,0.386950885,0.368653139,0.383042972,0.413558903,-0.268260807,-0.096374167,-0.073361686,-0.073796571,-0.177361644,0.007829719,0.191935535,0.145912465,0.125135364,0.194005889
130,SM(d18:1/16:0),0.044455259,0.104799784,0.654223812,0.107280218,-0.154966236,-0.370363441,-0.318326953,0.285335359,0.0753802,-0.045992944,0.039556432,0.281252051,-0.506208061,-0.324110375,-0.521410141,-0.574339354,0.321289592,0.604102892,-0.407076627,0.392945973,-0.20923043,0.247615513,-0.145592644,0.264207805,0.589055543,0.178191528,0.197237201,0.283813299,0.202403392,0.25704719,0.19968461,-0.050514631,0.582133494,0.20233474,-0.138621939,-0.547934946,0.171919934,-0.383144113,-1.025698113,0.275890078,-0.014112744,-0.212377036,0.122620079,-0.115992482,-0.129346419,-0.613896165,0.059534963,-0.071681831,0.38561789,-0.466838403,0.144148662,0.340520746,0.119462547,0.335094803,-0.055762341,-0.163549473,0.527612916,0.345624983,-0.032624627,0.438728174,0.222903488,-0.692984398,0.039300506,0.346716738,0.325733333,-0.17264912,-0.038741433,-0.036753432,-0.061763262,0.038450671,-0.150059743,-0.308662107,-0.239133562,-0.356163222,0.051712988,-0.116014615,-0.258693641,-0.17875746,-0.195850923
131,PE(P-18:0/20:1),0.237039751,0.195583003,-0.097035098,-0.028636211,0.232668772,-0.205131797,0.594870725,0.162358895,0.329891806,0.070648389,0.118337754,-0.242504049,1.21436656,-0.14404896,0.118802937,0.240769275,0.497116101,-0.26191813,0.271138276,-0.166987323,0.023990222,-0.314760433,0.139112321,-1.040855489,0.289101514,0.263720438,0.09511239,-0.076176262,0.029824302,-0.159752728,-0.516641049,-0.141965753,0.225680625,0.274558661,-0.081809221,-0.97091656,0.374556715,0.578956812,-0.405034586,0.04546288,-0.119687452,0.292388639,0.043082769,-0.037857686,-0.353365421,-0.355019072,-1.141669942,-0.242197771,0.211936304,0.832335263,0.136424903,0.115098862,0.240363906,0.156784155,-0.171107555,-0.023767272,0.59938641,0.203512183,0.328271369,0.238611377,0.7317918,-0.249205681,0.422063861,0.044845573,0.147762386,-0.185847778,-0.249762439,-0.142250057,-0.040113792,-0.129872772,-0.294410412,-0.406848074,-0.43995371,-0.467218405,-0.100664481,-0.33726203,-0.358779785,-0.332810706,-0.334482939
132,SM(d18:0/18:1),-0.297228613,-0.02375775,0.110776517,0.00983718,-0.160647332,-0.436110362,-0.333028299,-0.089654439,-0.197208122,-0.048176524,-0.085643931,-0.038624991,-1.01621097,-0.312927825,-0.401157191,-0.494876961,-0.284926198,0.247372546,-0.380105466,0.072207988,-0.275035817,0.047171883,-0.313805553,0.333895335,0.129055292,-0.245365074,0.027250221,0.092735547,0.037845892,0.110100117,0.370547064,-0.042412997,0.201507548,0.156006961,0.196641346,0.589668859,0.280080724,-0.1183589,0.196086488,0.153324896,0.290416282,0.035519124,0.081325777,0.412593204,0.239012782,0.340100622,0.538723524,-0.223007793,-0.120738445,0.082313136,-0.014813711,0.085137775,0.410023391,0.388265219,0.324108506,-0.009476355,-0.094027921,0.052912844,0.219572977,0.249420838,0.053031525,0.380619485,-0.055097102,0.396234393,-0.099573038,-0.311909122,-0.24300558,-0.25811698,-0.232275605,0.071426613,-0.071741595,-0.166248245,-0.128713195,0.006862391,-0.016589407,-0.06354885,-0.051557932,-0.102932464,-0.161096158
133,SM(d18:1/18:1),-0.172615713,0.142607016,0.456571603,-0.222942922,-0.280295534,-0.364695202,0.139494221,0.41363089,-0.0113982,-0.085090436,0.273869907,0.268652252,-1.850638142,-0.281339697,-0.388279714,-0.152226055,0.011952187,0.190688169,-0.318557981,-0.207103589,0.062584883,-0.124164463,-0.179676465,-0.083801271,0.475409173,0.259525773,0.267167845,-0.720305259,0.495333056,0.407311855,0.006641053,0.06075961,0.357554197,0.194748899,0.037719515,0.266758262,0.2025883,0.126464389,-0.260309089,0.244492384,-0.49006826,-0.157407728,-0.042559309,-0.0418333,0.104294463,-0.400743131,0.376297579,-0.077379069,0.070484762,-0.511744122,0.247821678,0.27970656,-0.181711973,0.100868631,0.182510782,-0.162253571,0.157253558,0.30795855,-0.278861016,0.306209038,0.100164785,-0.180758809,0.001324133,-0.211827755,-0.022638223,0.017994634,0.022489802,-0.016475375,-0.0266745,0.064053304,0.139699981,0.136051082,0.112072105,0.120583403,0.090631789,0.04194559,0.040213355,0.062412187,0.060808686
134,PE(18:0/20:4),0.026045355,0.050135888,0.172390896,-0.02903287,-0.173920656,-0.124553541,-0.098452584,-0.18692315,0.063700617,0.029395191,0.267977185,-0.094077956,-1.001573384,-0.142954139,-0.217763091,-0.317984462,-0.16388468,0.138136233,-0.242650122,0.111989711,-0.374138486,0.008715093,-0.075741298,0.11294343,0.212172247,-0.103872797,0.056167538,-0.155324971,-0.029945601,-0.098714463,0.00389096,0.025933066,0.17623621,0.26093286,0.069939208,0.349154148,-0.02441434,-0.253092533,0.178416275,0.194444431,0.324885331,0.165224746,0.418536534,0.30913639,0.111694654,0.076168412,0.621444781,0.046476647,0.118004281,-0.179310147,0.096482875,0.209851978,0.066396287,-0.06557125,0.022609176,-0.036262534,0.012052635,0.234852352,0.093269027,0.126148264,-0.126773589,0.13106258,-0.095164553,0.340256721,0.004888828,-0.13404328,-0.176597835,-0.182145694,-0.093235335,0.29145243,-0.273555085,0.020222845,0.044523354,-0.04705659,0.021343013,-0.286548557,-0.153112421,-0.393035905,-0.264272782
135,TG(16:0/16:0/18:1),0.568517239,0.35113633,0.774076883,0.441703632,0.287430925,-0.026030725,0.112657145,0.365260957,0.364630102,0.189230161,0.316248516,0.483576099,-0.062590583,-0.183370163,0.079262929,-0.177837976,0.247457395,0.492008159,-0.372019304,0.122948628,0.324083199,0.085140268,-0.099993439,-0.235697334,0.690283326,0.376965666,0.64186521,0.183498645,0.44040581,0.153788365,-0.337815478,0.030447271,0.380432738,0.43267183,0.398758405,-0.486537515,-0.25279481,-0.271355384,-0.954792736,-0.008440186,-0.6288955,-0.272386298,-0.136104644,-0.561306433,-0.376183474,-1.275932268,-0.148905241,-0.075418163,0.562971601,-0.842086109,0.040389184,0.070124829,-0.709070201,-0.51278267,-0.710990661,-0.294884499,0.377700617,0.261099375,-0.214011098,0.10154067,-0.235094813,-0.419362531,-0.24586512,-0.195042812,0.452043632,0.174450387,0.224142164,0.257103466,0.184087267,-0.132097041,-0.164211466,-0.23599021,-0.256473722,-0.219045374,0.242838563,0.068825712,0.005665894,-0.026732815,0.000679601
136,PE(P-18:0/22:4),0.329211911,0.262182987,0.285908453,0.073237862,0.044593025,-0.32999548,0.082307597,0.236833324,0.525454693,0.209297438,0.297071899,0.340948169,-0.274625121,-0.154435032,0.070826417,-0.20059273,0.215310223,0.215548505,0.005356465,0.364586382,-0.224880858,-0.076038281,-0.069487356,-0.164454445,0.381009349,0.149020028,0.169457417,-0.141561149,0.236496387,0.051947098,-0.044618245,-0.064504818,0.39142758,0.324080154,-0.227101942,-0.776235258,0.03841474,-0.289998715,-0.664612912,0.185961836,-0.209350296,0.114615125,0.354454592,-0.054598827,-0.183160843,-0.402530802,-0.133856798,-0.070579466,0.49730387,0.02259363,0.168579968,0.085099453,0.042900884,0.087309835,-0.213241401,-0.133129609,0.515519424,0.524124312,0.197861613,0.196953734,0.36885252,-0.363461628,0.152139526,-0.176236718,0.314856621,-0.299845061,-0.282308495,-0.100247292,0.042295061,-0.04122664,-0.347857644,-0.517882263,-0.423554598,-0.346872233,0.035712964,-0.293888393,-0.330224259,-0.327013808,-0.253453658
137,TG(18:0/16:0/18:1),0.671706664,0.355728088,0.662475676,0.264164118,0.13715145,-0.117904315,0.133899231,0.380226428,0.348371132,0.176219318,0.247914547,0.412953545,0.252135107,-0.104387747,-0.02029681,-0.141114053,0.290407534,0.285983717,-0.317476263,0.093618934,0.238493019,0.03275528,-0.182672665,-0.401267288,0.708929544,0.413160994,0.718147981,0.193182084,0.382871092,0.162461342,-0.475750364,-0.185331543,0.471362069,0.449246732,0.01207912,-0.522009824,-0.207394682,-0.203047713,-0.846536065,-0.008707652,-0.559146476,-0.148646207,-0.066712541,-0.411404197,-0.459207768,-1.128811639,-0.18643934,-0.137458897,0.708779611,-0.655747607,0.171107348,0.200833746,-0.52867131,-0.40075355,-0.666744822,-0.387767531,0.495474371,0.43631605,-0.167584781,0.084977828,-0.146613817,-0.345895114,-0.143591824,-0.231239272,0.434371972,0.163261151,0.126554673,0.11343839,0.241428445,-0.115538138,-0.101947574,-0.320892434,-0.245441982,-0.285147217,0.075294708,-0.015746002,-0.009982169,-0.087276154,-0.059177694
138,PE(18:0/18:1),0.158358307,0.182854047,0.165614741,0.144836448,0.220166946,-0.145327125,0.517628773,0.37935741,-0.002033509,0.158480147,-0.044757696,0.011497286,0.43661987,-0.205992424,-0.049337141,-0.181724476,0.47017662,0.014392553,0.133444464,0.19889649,0.185036539,0.132753838,0.053837059,-0.38339039,0.255475597,0.243313679,0.032740211,0.191652807,-0.017449647,-0.173716342,-0.311173876,-0.402295641,0.381477169,0.342699554,-0.187697451,-1.050549531,0.228757094,0.166465501,-0.506862627,0.167339168,-0.023780273,0.042858491,0.133156218,0.050922912,-0.221101916,-0.445357365,-0.554716777,-0.216122872,0.611882497,0.260586833,0.40322711,0.17969882,0.132078744,0.096198955,-0.205607992,0.171883313,0.543299344,0.42322792,-0.031608596,0.480794441,0.312584964,-0.238860427,0.453761385,0.084620893,0.186874154,-0.19216455,-0.237049459,-0.161248967,-0.050511725,-0.180758107,-0.389879094,-0.649786283,-0.553968403,-0.492278869,-0.201835508,-0.352532611,-0.520469624,-0.206657265,-0.352924755
139,HexCer(d18:2/24:0(2OH)),0.157539919,0.249615325,-0.250257151,-0.16834694,0.112461769,-0.218710864,0.300109928,0.077210342,0.139032396,0.260283835,-0.022528103,-0.126663803,0.059451299,-0.166809924,0.020634945,0.064475124,0.285093121,-0.074484565,0.16984235,0.001174841,-0.082320041,-0.211157121,0.198551414,-0.567132825,0.224099749,0.40250969,0.071675839,0.022534472,0.246506322,-0.151710455,-0.277740259,-0.080496107,0.227818985,0.487035483,0.061604333,-0.4698476,0.201254423,0.163442861,-0.278635253,0.210888006,0.111409894,0.33494831,0.235519528,0.054187106,-0.030756203,-0.359455746,-0.722829178,0.090798621,0.256963949,0.359133695,0.525945584,0.230350423,0.257311985,0.140078718,-0.060499845,-0.05782125,0.397798611,0.424831762,0.077232623,0.303633574,0.142295653,-0.19569948,0.127691725,0.044777284,0.099205492,-0.319618763,-0.2783683,-0.310121726,-0.266608647,0.005162563,-0.20563619,-0.351976656,-0.400837691,-0.384195113,-0.12619671,-0.322253746,-0.401292605,-0.333131444,-0.359983569
140,PC(18:1/22:6),0.160053129,-0.007154405,-0.020853865,0.175444511,0.14572227,0.281170798,0.097549634,-0.074965966,0.128989949,0.320033638,0.134786801,0.20695779,0.733809489,0.334996579,0.364450167,0.331889424,-0.14986171,0.083297904,0.267914235,0.352509792,0.23037951,0.18445239,0.293853638,0.197976166,-0.184767092,0.115138423,-0.105349909,0.1889206,0.062419908,0.15007403,0.297288096,0.194713504,-0.341824199,-0.178827276,-0.360322816,-0.129424187,-0.321084748,0.108017565,-0.313327082,-0.128590291,-0.248785754,-0.325204726,-0.28443005,-0.413075215,-0.019283003,-0.358994978,-0.082259486,-0.112874357,-0.335833679,-0.55363216,-0.180181111,-0.304388888,-0.093824976,-0.176126722,0.010068615,-0.092986665,-0.411612047,-0.403254488,-0.262677899,-0.319875867,-0.021217966,-0.330302058,-0.129415338,-0.073159509,0.016077045,0.262237922,0.335152359,0.269625081,0.195163513,-0.245427582,-0.027621636,0.032733003,0.036223754,-0.018014132,0.051584231,0.153845338,0.241417177,0.210484508,0.183391346
141,PC(20:4/18:1),-0.558913913,-0.261735177,-0.477523048,-0.170787686,-0.121038134,0.076030298,-0.069356705,-0.473662889,-0.252309189,0.060150538,-0.206065281,-0.319886357,0.180231766,0.043690869,-0.016759398,0.007324556,-0.338303602,-0.313019503,-0.111954601,-0.119943736,0.026516647,-0.137458023,-0.020935123,-0.057408584,-0.401567586,-0.238186359,-0.374444515,-0.22915441,-0.203762813,-0.120979613,0.21765069,0.107728374,-0.125305152,-0.195089545,0.337524885,0.4394626,0.312371146,0.369714807,0.56816104,0.043132051,0.215804294,0.048385,-0.224007918,0.11683749,0.176965545,0.544348019,0.102884077,0.366701597,-0.653330547,0.164629919,-0.327372516,0.01738075,0.411699506,0.184147838,0.515302643,0.226115542,-0.376413259,-0.492607717,0.163039909,0.045744859,0.050670533,0.404920713,0.228780517,0.345326233,-0.515534719,-0.068303265,-0.040448743,-0.172728481,-0.236385705,0.02060815,0.311412225,0.363079281,0.345075247,0.406594047,-0.194557736,0.187407967,0.198950443,0.163080822,0.101658116
