,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29
,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS
36,0.04422492,0.004381075,-0.087395965,-0.246771238,-0.141273336,0.055498721,-0.049483014,0.147077501,-0.090667688,-0.064390901,-0.377933866,-0.409192762,0.092258049,-0.275586228,-0.204848774,-0.229114815
37,0.05556309,-0.09549013,-0.158312279,-1.4102357,0.047232856,0.138344011,-0.95200066,-0.056877089,-0.509776662,-0.109705349,-0.141427293,-0.62790228,-0.418958487,-0.839178208,-1.300368859,0.062852739
38,0.263543552,0.048832238,0.132646137,-0.399098091,0.419917174,0.651141925,0.044198061,0.138569034,0.141992749,0.389700138,0.077286612,0.101905391,-0.175972474,0.175557714,-0.769438677,0.147298149
39,0.318690005,0.250519054,0.477272849,0.613800031,0.322634372,0.307380861,0.517045119,0.176433429,0.467764176,0.377588126,0.469199358,0.363139619,0.424383825,0.576427713,0.444903286,0.528172222
40,0.176966624,-0.12081419,-0.377345759,-0.814093813,-0.072233682,-0.599779644,-0.832797387,0.098133801,0.025993873,-0.302858484,0.206585744,-0.434187707,-0.255841256,-0.366070433,-0.29348129,0.071928143
41,0.017127894,-0.185820464,-0.042169943,-0.538936036,-0.017214855,-0.473371021,-0.472238116,0.062007822,-0.685413552,-0.860736575,-0.504351143,-0.592428973,-0.108057784,-0.830900719,-0.489458676,-0.332029226
42,0.242707806,0.152859798,-0.289381294,-1.581304285,0.149263867,0.241751828,-0.778604268,0.057949909,-0.372998885,0.037735121,0.217293389,-0.505689407,-0.524974251,-0.878999011,-1.342289848,-0.147635415
43,-0.156940229,-0.080159437,-0.210156765,-0.772541248,-0.18223448,-0.283955081,-0.666000535,-0.048580267,-0.473243768,-0.740828166,-0.271573458,-0.600547115,0.032644502,-0.726937094,-0.464514195,-0.075556763
44,0.331969959,0.428423084,0.651856295,0.845421591,0.535374196,0.602724711,0.789750098,0.410402523,0.657359563,0.423035811,0.371247506,0.447114771,0.436967406,0.768516015,0.633043667,0.591999329
45,0.383584736,0.238770649,0.255036192,-0.196385534,-0.280099768,-0.82260036,-0.613208279,0.048724691,-0.261956432,0.058514846,0.188823781,0.093616062,0.088921414,-0.098072972,0.166551759,0.031538512
46,0.014460487,0.072916479,-0.008197536,-0.591988016,-0.025189615,-0.645130779,-0.76873358,0.212387135,-0.445564635,-0.825729844,-0.101775274,-0.44934303,0.089254479,-0.839448069,-0.193456755,0.025673063
47,-0.143117166,-0.257026363,-0.248879876,-0.520421295,-0.281338993,-0.496111957,-0.645098508,-0.067507463,-0.402209376,-0.258971377,-0.058808079,-0.465549564,-0.029424198,-0.387289014,0.130399011,0.075549023
48,0.077281269,0.002593169,0.227830334,-0.229302561,0.506551392,0.804304566,0.357459298,0.132474435,0.226778414,0.189949987,-0.06895508,0.046901121,-0.103002019,0.148110049,-0.56555149,0.34670694
50,0.219587752,0.061469565,-0.08271379,0.065630178,0.065685282,0.052190665,-0.419978356,0.232131847,-0.190948089,-0.135711447,0.030496133,-0.256346569,-0.319852789,-0.380192991,0.432572278,-0.020808538
51,0.292949552,0.146107704,0.405818935,0.406548926,0.108523893,0.11705796,0.279443116,0.032160192,-0.272698605,-0.149250621,-0.097836144,-0.236556693,-0.295142613,0.122376551,0.134538464,0.000338503
54,0.151097191,0.285284966,0.18626603,0.061774465,-0.240654234,0.311483403,0.300775564,-0.055087835,0.114280958,0.41395519,-0.048746438,-0.016301652,0.098572467,0.050545246,-0.086533799,-0.171548004
55,-0.248611371,-0.256994656,-0.650439154,-1.263297179,-0.640283104,-0.544719783,-1.056075951,-0.308476166,-0.392239612,-0.20753001,-0.040041813,-0.498753343,0.054278819,-0.666140221,-0.360815372,-0.020902292
56,-0.301105085,-0.423701637,-0.378127174,-0.470227006,-0.299991514,-0.519809344,-0.80900115,-0.236377634,-0.507267705,-0.211588905,-0.147805899,-0.382241127,0.162448715,-0.279417531,0.220075448,0.165978555
57,-0.045171464,0.079171182,-0.030275945,-0.559406922,-0.064287641,-0.527924309,-0.865042912,-0.029722943,-0.678173665,-0.697550997,-0.259636953,-0.665145692,-0.30053881,-0.798186753,-0.356523716,-0.214715523
58,0.199228954,0.058579441,-0.233518963,-0.457988085,0.019659162,-0.13010652,-0.448847576,-0.140063848,-0.078859813,0.031555073,0.09443879,-0.162981937,-0.075513711,-0.318866747,-0.288318221,0.038502103
59,0.264731514,0.182931475,0.056953243,-0.593150237,0.425039595,0.302941103,-0.055755439,0.052773909,0.330543953,0.427795712,0.35440712,0.361351048,-0.115444257,0.214729533,-0.624916041,-0.176609904
60,-0.290881064,-0.098047828,-0.630351953,-0.854098704,-0.543624192,-0.703680612,-1.02264023,-0.154201726,-0.539535538,-0.59451606,-0.060713013,-0.58488033,-0.049741325,-0.739004583,-0.326108446,-0.267297314
61,-0.101149937,-0.236797544,-0.260006768,-1.132863946,-0.2505486,-0.356322284,-0.75053734,-0.180964501,-0.453373229,-0.153911316,-0.132718804,-0.754405641,-0.124350394,-0.437294945,-0.363767555,0.108695268
62,0.06109995,-0.019200039,-0.369145894,-0.135627747,0.202279355,0.328487953,0.218752786,-0.044845028,-0.243297708,-0.614644213,-0.093813922,-0.075748244,-0.257014527,0.046676052,-0.458914191,-0.49145066
63,-0.539245014,-0.591501826,-0.037046117,0.774398227,0.349772995,0.695860915,0.943500419,-0.074120838,0.40157147,-0.424775614,-0.05740131,0.800204705,0.036100999,0.715820283,0.359453348,0.085411806
64,-0.313666585,-0.178416504,-0.681120981,-1.361373024,-0.609928159,-0.668442888,-1.033908965,-0.390420918,-0.187893802,0.101685391,0.318398155,-0.304566391,0.16305514,-0.425727652,-0.319775931,0.33175013
65,0.353072716,0.405939162,-0.055551623,-0.407928486,-0.212378513,-0.23140085,-0.769032388,0.324062568,-0.277918917,0.167098177,0.341311529,-0.168932745,0.005626177,-0.531048779,0.013159909,-0.173938377
