"","index","pvalAdjSpear","pvalunadjSpear","estimateSpear","pvalAdjPear","pvalunadjPearson","estimatePearson"
"57",57,0.695812953052104,0.695812953052104,-0.165214941153099,0.695812953052104,0.695812953052104,-0.165214941153099
"58",58,0.645860325170735,0.645860325170735,0.193662219197554,0.645860325170735,0.645860325170735,0.193662219197554
"59",59,0.69451125686616,0.69451125686616,-0.165948872400406,0.69451125686616,0.69451125686616,-0.165948872400406
"60",60,0.256376627938317,0.256376627938317,0.455790327059829,0.256376627938317,0.256376627938317,0.455790327059829
"61",61,0.665331034716428,0.665331034716428,0.182502017723811,0.665331034716428,0.665331034716428,0.182502017723811
"62",62,0.934645603206597,0.934645603206597,-0.0348839679546312,0.934645603206597,0.934645603206597,-0.0348839679546312
"63",63,0.667946316837423,0.667946316837423,-0.181010267252559,0.667946316837423,0.667946316837423,-0.181010267252559
"64",64,0.843362692542222,0.843362692542222,-0.0839332591051159,0.843362692542222,0.843362692542222,-0.0839332591051159
"65",65,0.746290694750925,0.746290694750925,0.13701683868973,0.746290694750925,0.746290694750925,0.13701683868973
"66",66,0.215940479346279,0.215940479346279,-0.491645614614527,0.215940479346279,0.215940479346279,-0.491645614614527
"67",67,0.895983365804574,0.895983365804574,-0.0555899563902099,0.895983365804574,0.895983365804574,-0.0555899563902099
"68",68,0.93030334440803,0.93030334440803,0.0372058708733696,0.93030334440803,0.93030334440803,0.0372058708733696
"69",69,0.632111956191167,0.632111956191167,-0.201602950428808,0.632111956191167,0.632111956191167,-0.201602950428808
"70",70,0.836340875401552,0.836340875401552,-0.0877340346753546,0.836340875401552,0.836340875401552,-0.0877340346753546
"71",71,0.434614151341115,0.434614151341115,0.323375917639858,0.434614151341115,0.434614151341115,0.323375917639858
"72",72,0.935730660413131,0.935730660413131,0.0343038831551855,0.935730660413131,0.935730660413131,0.0343038831551855
"73",73,0.210313707184295,0.210313707184295,0.496900544229851,0.210313707184295,0.210313707184295,0.496900544229851
"74",74,0.230605992852048,0.230605992852048,0.478273787344099,0.230605992852048,0.230605992852048,0.478273787344099
"75",75,0.849935206337685,0.849935206337685,-0.0803801074038253,0.849935206337685,0.849935206337685,-0.0803801074038253
"76",76,0.532086969689702,0.532086969689702,0.261189377403129,0.532086969689702,0.532086969689702,0.261189377403129
"77",77,0.330182615916892,0.330182615916892,0.396968214269996,0.330182615916892,0.330182615916892,0.396968214269996
"78",78,0.160121448841398,0.160121448841398,0.547514819416602,0.160121448841398,0.160121448841398,0.547514819416602
"79",79,0.904820285335629,0.904820285335629,0.0508501030162482,0.904820285335629,0.904820285335629,0.0508501030162482
"80",80,0.513086657886014,0.513086657886014,0.272939423021699,0.513086657886014,0.513086657886014,0.272939423021699
"81",81,0.437293772546733,0.437293772546733,0.321595780250824,0.437293772546733,0.437293772546733,0.321595780250824
"82",82,0.494127066879418,0.494127066879418,-0.284828946303164,0.494127066879418,0.494127066879418,-0.284828946303164
"83",83,0.16405713262767,0.16405713262767,0.543262136583898,0.16405713262767,0.16405713262767,0.543262136583898
"84",84,0.899268891107799,0.899268891107799,-0.0538271388004925,0.899268891107799,0.899268891107799,-0.0538271388004925
"85",85,0.639887194203203,0.639887194203203,0.197105792902841,0.639887194203203,0.639887194203203,0.197105792902841
"86",86,0.507139375225435,0.507139375225435,-0.276650636555282,0.507139375225435,0.507139375225435,-0.276650636555282
"87",87,0.814283089096926,0.814283089096926,-0.0997078896988901,0.814283089096926,0.814283089096926,-0.0997078896988901
"88",88,0.896458027723255,0.896458027723255,0.0553352387003903,0.896458027723255,0.896458027723255,0.0553352387003903
"89",89,0.574250396967588,0.574250396967588,0.235644427146228,0.574250396967588,0.574250396967588,0.235644427146228
"90",90,0.388526961851424,0.388526961851424,0.35476076229219,0.388526961851424,0.388526961851424,0.35476076229219
"91",91,0.364243253880498,0.364243253880498,-0.371952488435874,0.364243253880498,0.364243253880498,-0.371952488435874
"92",92,0.914012058591225,0.914012058591225,0.0459247673637506,0.914012058591225,0.914012058591225,0.0459247673637506
"93",93,0.954847589893096,0.954847589893096,-0.0240906045385006,0.954847589893096,0.954847589893096,-0.0240906045385006
"94",94,0.419776219502579,0.419776219502579,0.333317718685287,0.419776219502579,0.419776219502579,0.333317718685287
"95",95,0.0274116337528207,0.0274116337528207,-0.763714732232102,0.0274116337528207,0.0274116337528207,-0.763714732232102
"96",96,0.167893564580478,0.167893564580478,0.539169691483858,0.167893564580478,0.167893564580478,0.539169691483858
"97",97,0.731017011774203,0.731017011774203,-0.145497981384065,0.731017011774203,0.731017011774203,-0.145497981384065
"98",98,0.283924337039867,0.283924337039867,-0.432976780756053,0.283924337039867,0.283924337039867,-0.432976780756053
"99",99,0.27344158293744,0.27344158293744,-0.441523154881682,0.27344158293744,0.27344158293744,-0.441523154881682
"100",100,0.996721061442663,0.996721061442663,0.00174877079596973,0.996721061442663,0.996721061442663,0.00174877079596973
"101",101,0.348231997386136,0.348231997386136,-0.383571529558959,0.348231997386136,0.348231997386136,-0.383571529558959
"102",102,0.279500115513271,0.279500115513271,0.436564527937824,0.279500115513271,0.279500115513271,0.436564527937824
"103",103,0.939610149412128,0.939610149412128,0.032230233610113,0.939610149412128,0.939610149412128,0.032230233610113
"104",104,0.237464508502373,0.237464508502373,0.472170490961921,0.237464508502373,0.237464508502373,0.472170490961921
"105",105,0.0531476324526092,0.0531476324526092,0.7001561454533,0.0531476324526092,0.0531476324526092,0.7001561454533
"106",106,0.157394496537314,0.157394496537314,0.550494893818241,0.157394496537314,0.157394496537314,0.550494893818241
"107",107,0.133356038053571,0.133356038053571,0.578093495743734,0.133356038053571,0.133356038053571,0.578093495743734
"108",108,0.74786024419678,0.74786024419678,0.136147617921543,0.74786024419678,0.74786024419678,0.136147617921543
"109",109,0.17608725060022,0.17608725060022,0.530595288650738,0.17608725060022,0.17608725060022,0.530595288650738
"110",110,0.946619911856441,0.946619911856441,0.0284847846385228,0.946619911856441,0.946619911856441,0.0284847846385228
"111",111,0.943015380833859,0.943015380833859,-0.0304105408190734,0.943015380833859,0.943015380833859,-0.0304105408190734
"112",112,0.858905380215687,0.858905380215687,-0.075537310177666,0.858905380215687,0.858905380215687,-0.075537310177666
